songs,artist,decade,lyrics,sentiment_analysis_score,sentiment_analysis_magnitude
,,,Average,0.1099999964,
Sweet Caroline(Good Times Never Seemed So Good),Neil Diamond,1960,"Where it began, I can't begin to know when
But then I know it's growing strong
Wasn't the spring
And spring became the summer
Who'd have believe you'd come along
Hands, touching hands, reaching out
Touching me, touching you
Sweet Caroline
Good times never seem so good
I've been inclined
To believe it never would but now I
Look at the night
And it don't seem so lonely
We fill it up with only two
And when I hurt
Hurting runs off my shoulder
How can I hurt when holding you
One, touching one, reaching out
Touching me, touching you
Sweet Caroline
Good times never seem so good
I've been inclined
To believe they never would, oh no no
Sweet Caroline
Good times never seem so good
Sweet Caroline
I believe they never could
Sweet Caroline",0.400000006,0.400000006
Shout,Otis Day And The Knights/Isley Brothers,1960,"Well
You know you make me wanna (Shout!)
Kick my heels up and (Shout!)
Throw my hands up and (Shout!)
Throw my head back and (Shout!)
Come on now (Shout!)
Don't forget to say you will
Don't forget to say, yeah
Yeah, yeah, yeah, yeah
(Say you will)
Say it right now baby
(Say you will)
Come on, come on
(Say you will)
Say it, will-a you
(Say you will)
Come on now!
say that you love me
(Say) say that you need me
(Say) say that you want me
(Say) you wanna please me
(Say) come on now
(Say) come on now
(Say) come on now
I still remember
(Shooby-doo-wop-do-wop-wop-wop-wop)
When you used to be nine years old
(Shooby-doo-wop-do-wop-wop-wop-wop)
Yeah yeah!
I was a fool for you, from the bottom of my soul, yeah!
(Shooby-doo-wop-do-wop-wop-wop-wop)
Now that you've grown, up
(Shooby-doo-wop-do-wop-wop-wop-wop)
Enough to know, yeah yeah
(Shooby-doo-wop-do-wop-wop-wop-wop)
You wanna leave me, you wanna, let me go
(Shooby-doo-wop-do-wop)
I want you to know
I said I want you to know right now, yeah!
You been good to me baby
Better than I been to myself, hey! hey!
And if you ever leave me
I don't want nobody else, hey! hey!
I said I want you to know-ho-ho-hey!
I said I want you to know right now, hey! hey!
You know you make me wanna
(Shout-woo) hey-yeah
(Shout-woo) yeah-yeah-yeah
(Shout-woo) all-right
(Shout-woo) all-right
(Shout-woo) come on now!
(Shout) come on now!
(Shout) yeah, yeah, yeah
(Shout) yeah, yeah, yeah (good sound)
(Shout) yeah, yeah, yeah (good sound)
(Shout) yeah, yeah, yeah (good sound)
(Shout) all-alright (good sound)
(Shout) it's all-alright (good sound)
(Shout) all-alright (good sound)
(Shout) all-alright (aah)
Now wait a minute!
I feel alright!
(Yeah yeah, yeah yeah!)
Now that I got my woman
I feel alright!
Every time I think about you
You been so good to me
You know you make me wanna
(Shout-woo) lift my heels up and
(Shout-woo) throw my head back and
(Shout-woo) kick my heels up and
(Shout-woo) come on now
(Shout-woo) take it easy
(Shout-woo) take it easy
(Shout-woo) take it easy (higher)
(Shout) a little bit softer now (woo)
(Shout) a little bit softer now
(Shout) a little bit softer now
(Shout) a little bit softer now
(Shout) a little bit softer now
(Shout) a little bit softer now
(Shout) a little bit softer now
(Shout) a little bit softer now
(Shout) a little bit softer now
(Shout) a little bit softer now
(Shout) a little bit softer now
(Shout) a little bit softer now
(Shout) a little bit softer now
(Shout) a little bit softer now
(Shout) a little bit softer now
(Shout) a little bit softer now
(Shout) a little bit softer now
a little bit louder now
(Shout) a little bit louder now
(Shout) a little bit louder now
(Shout) a little bit louder now
(Shout) a little bit louder now
(Shout) a little bit louder now
(Shout) a little bit louder now
(Shout) a little bit louder now
(Shout) a little bit louder now
(Shout) a little bit louder now
(Shout) a little bit louder now
(Shout) a little bit louder now
Hey!
Hey!
Hey!
Hey!
Hey!
Hey!
Hey!
Hey!
Shout now!
Jump up and shout now (woo)
Jump up and shout now (woo)
Jump up and shout now (woo)
Jump up and shout now (woo)
Jump up and shout now (woo)
Everybody shout now
Everybody shout now
Everybody, shout, shout
Shout, shout, shout",0.5,17.79999924
Brown Eyed Girl,Van Morrison,1960,"Hey, where did we go?
Days when the rains came
Down in the hollow
Playin' a new game
Laughing and a running hey, hey
Skipping and a jumping
In the misty morning fog with
Our hearts a thumpin' and you
My brown-eyed girl
You, my brown-eyed girl
Whatever happened
To Tuesday and so slow?
Going down the old mine
With a transistor radio
Standing in the sunlight laughing
Hiding behind a rainbow's wall
Slipping and sliding
All along the waterfall, with you
My brown-eyed girl
You, my brown-eyed girl
Do you remember when we used to sing
Sha la la la la la la la la la la te da
Just like that
Sha la la la la la la la la la la te da, la te da
So hard to find my way
Now that I'm all on my own
I saw you just the other day
My, how you have grown
Cast my memory back there, Lord
Sometimes I'm overcome thinking 'bout
Making love in the green grass
Behind the stadium with you
My brown-eyed girl
You, my brown-eyed girl
Do you remember when we used to sing
Sha la la la la la la la la la la te da
Sha la la la la la la la la la la te da, la te da
(Bit by bit, by bit, by bit, by bit, by bit)
(Sha la la la la la la, la te da, la te da
Sha la la la la la la la la la la te da, la te da
(La te da, da da da da da da da da)",0.1000000015,1.200000048
The Way You Look Tonight,Frank Sinatra,1960,"Some day, when I'm awfully low
When the world is cold
I will feel a glow just thinking of you
And the way you look tonight
You're lovely, with your smile so warm
And your cheeks so soft
There is nothing for me but to love you
And the way you look tonight
With each word your tenderness grows
Tearing my fears apart
And that laugh that wrinkles your nose
Touches my foolish heart
Yes you're lovely, never, ever change
Keep that breathless charm
Won't you please arrange it?
'Cause I love you
Just the way you look tonight
With each word your tenderness grows
Tearing my fears apart
And that laugh that wrinkles your nose
Touches my foolish heart
Yes you're lovely, never, ever change
Keep that breathless charm
Won't you please arrange it?
'Cause I love you
Just the way you look tonight
Just the way you look tonight
Darling
Just the way you look tonight",0.8000000119,2.400000095
Twist And Shout,Beatles,1960,"Well, shake it up, baby, now
Twist and shout
Come on, come on, come, come on, baby, now
Come on and work it on out
Well, work it on out, honey
You know you look so good
You know you got me goin' now
Just like I know you would
Well, shake it up, baby, now
Twist and shout
Come on, come on, come, come on, baby, now
Come on and work it on out
You know you twist, little girl
You know you twist so fine
Come on and twist a little closer now
And let me know that you're mine, woo
Ah, ah, ah, ah, wow
Baby, now
Twist and shout
Come on, come on, come, come on, baby, now
Come on and work it on out
You know you twist, little girl
You know you twist so fine
Come on and twist a little closer now
And let me know that you're mine
Well, shake it, shake it, shake it, baby, now
Well, shake it, shake it, shake it, baby, now
Well, shake it, shake it, shake it, baby, now
Ah, ah, ah, ah",0.8999999762,0.8999999762
At Last,Etta James,1960,"At last my love has come along
My lonely days are over and life is like a song, oh yeah
At last the skies above are blue
My heart was wrapped up clover the night I looked at you
I found a dream that I could speak to
A dream that I can call my own
I found a thrill to press my cheek to
A thrill I've never known, oh yeah
You smiled, you smiled oh and then the spell was cast
And here we are in Heaven
For you are mine at last",0.8999999762,0.8999999762
My Girl,Temptations,1960,"I've got sunshine
On a cloudy day
When it's cold outside
I've got the month of May

I guess you'd say
What can make me feel this way?
My girl, my girl, my girl
Talkin' 'bout my girl
My girl

I've got so much honey
The bees envy me
I've got a sweeter song
Than the birds in the trees

Well, I guess you'd say
What can make me feel this way?
My girl, my girl, my girl
Talkin' 'bout my girl
My girl
Ooo-ooo, hoo-ooo

Hey, hey, hey
Hey, hey, hey
Ooh yeah

I don't need no money
Fortune or fame
I got all the riches, baby
One man can claim

Well, I guess you'd say
What can make me feel this way?
My girl, my girl, my girl
Talkin' 'bout my girl
My girl

I got sunshine on a cloudy day with my girl
I've even got the month of May with my girl
Talkin' bout, talkin' 'bout, talkin' 'bout my girl",0.200000003,5.300000191
What A Wonderful World,Louis Armstrong,1960,"Now a days it's easier to get a gun than a education
That's why kids in trench coats shoot up they schools
And parents out live they kids
And sex, the thing that bring life also take it away
When you say this is a wonderful world, ha-ha-ha-ha
I've seen trees of green, red roses too
I seen 'em bloom for me and you
And I think to myself
What a wonderful world
I've seen skys of blue and clouds of white
The bright blessed day
The dark sacred night
And I think to myself
What are wonderful world
The colors of the rainbow so pretty in the sky
Are also on the faces of people going by
I've seen friends shaking hands
Sayin' How do you do?
They're really sayin' ""I love you""
I hear babies cryin'
I watch them grow
They'll learn much more than I'll ever know
And I think to myself
What a wonderful world
Yes, I think to myself
What a wonderful world
Ohh, yeahhh",0.6000000238,1.299999952
Can't Help Falling In Love,Elvis Presley With The Jordanaires,1960,"Wise men say only fools rush in
But I can't help falling in love with you
Oh, shall I stay, would it be a sin
Oh, if I can't help falling in love with you?
Like a river flows, surely to the sea
Darling, so it goes, some things are meant to be
Take my hand, take my whole life too
Oh, for I can't help falling in love with you
Oh, like a river flows, surely to the sea
Darling, so it goes, some things are meant to be
Oh, take my hand, take my whole life too
For I can't help falling in love with you
Oh, for I can't help falling in love with you",0.6000000238,1.200000048
Build Me Up Buttercup,Foundations,1960,"Foundations
Miscellaneous
Build Me Up Buttercup
Build Me Up Buttercup - Foundations

Why do you build me up Buttercup, baby
Just to let me down and mess me around
And then worst of all you never call, baby
When you say you will but I love you still
I need you more than anyone, darlin'
You know that I have from the start
So build me up Buttercup, don't break my heart

""I'll be over at ten"", you told me time and again
But you're late, I wait around and then
I went to the door, I can't take any more
It's not you, you let me down again

Baby, baby, try to find
A little time and I'll make you happy
I'll be home
I'll be beside the phone waiting for you
Ooo-oo-ooo, ooo-oo-ooo

Why do you build me up Buttercup, baby
Just to let me down and mess me around
And then worst of all you never call, baby
When you say you will but I love you still
I need you more than anyone, darlin'
You know that I have from the start
So build me up Buttercup, don't break my heart

To you I'm a toy but I could be the boy you adore
If you'd just let me know
Although you're untrue, I'm attracted to you all the more
Why do I need you so

Baby, baby, try to find
A little time and I'll make you happy
I'll be home
I'll be beside the phone waiting for you
Ooo-oo-ooo, ooo-oo-ooo

Why do you build me up Buttercup, baby
Just to let me down and mess me around
And then worst of all you never call, baby
When you say you will but I love you still
I need you more than anyone, darlin'
You know that I have from the start
So build me up Buttercup, don't break my heart

I-I-I need you-oo-oo more than anyone, baby
You know that I have from the start
So build me up Buttercup, don't break my heart",0,5.599999905
,,,Average,0.5000000022,
Wonderful Tonight,Eric Clapton,1970,"It's late in the evening; she's wondering what clothes to wear
She puts on her make-up and brushes her long blonde hair
And then she asks me, Do I look all right?
And I say, ""Yes, you look wonderful tonight
We go to a party and everyone turns to see
This beautiful lady that's walking around with me
And then she asks me, Do you feel all right?
And I say, ""Yes, I feel wonderful tonight""
I feel wonderful because I see
The love light in your eyes
And the wonder of it all
Is that you just don't realize how much I love you
It's time to go home now and I've got an aching head
So I give her the car keys and she helps me to bed
And then I tell her, as I turn out the light
I say, ""My darling, you were wonderful tonight
Oh my darling, you were wonderful tonight",0.5,1.700000048
YMCA,Village People,1970,"Young man, there's no need to feel down
I said, young man, pick yourself off the ground
I said, young man, 'cause you're in a new town
There's no need to be unhappy
Young man, there's a place you can go
I said, young man, when you're short on your dough
You can stay there, and I'm sure you will find
Many ways to have a good time
It's fun to stay at the YMCA
It's fun to stay at the YMCA
They have everything for you men to enjoy
You can hang out with all the boys
It's fun to stay at the YMCA
It's fun to stay at the YMCA
You can get yourself clean, you can have a good meal
You can do what ever you feel
Young man, are you listening to me?
I said, young man, what do you want to be?
I said, young man, you can make real your dreams
But you got to know this one thing
No man does it all by himself
I said, young man, put your pride on the shelf
And just go there, to the YMCA
I'm sure they can help you today
It's fun to stay at the YMCA
It's fun to stay at the YMCA
They have everything for you men to enjoy
You can hang out with all the boys
It's fun to stay at the YMCA
It's fun to stay at the YMCA
You can get yourself clean, you can have a good meal
You can do what ever you feel
Young man, I was once in your shoes
I said, I was down and out with the blues
I felt no man cared if I were alive
I felt the whole world was so tight
That's when someone came up to me
And said, young man, take a walk up the street
There's a place there called the YMCA
They can start you back on your way
It's fun to stay at the YMCA
It's fun to stay at the YMCA
They have everything for you men to enjoy
You can hang out with all the boys
YMCA, it's fun to stay at the YMCA
Young man, young man, there's no need to feel down
Young man, young man, pick yourself off the ground
YMCA, it's fun to stay at the YMCA
Young man, young man, are you listening to me
Young man, young man, what do you wanna be?
YMCA, you'll find it at the YMCA
No man, young man, does it all by himself
Young man, young man, put your pride on the shelf
YMCA, and just go to the YMCA
Young man, young man I was once in your shoes
Young man, young man I was down with the blues, YMCA",0.400000006,2.900000095
We Are Family,Sister Sledge,1970,"We are family
I got all my sisters with me
We are family
Get up everybody and sing
We are family
I got all my sisters with me
We are family
Get up everybody and sing
Everyone can see we're together
As we walk on by
(And) and we fly just like birds of a feather
I won't tell no lie
all of the people around us they say
Can they be that close
Just let me state for the record
We're giving love in a family dose
We are family (Hey, y'all)
I got all my sisters with me
We are family
Get up everybody and sing (sing it to me)
We are family
I got all my sisters with me
We are family
Get up everybody and sing
Living life is fun and we've just begun
To get our share of this world's delights
(High) high hopes we have for the future
And our goal's in sight
no, we don't get depressed
Here's what we call our golden rule
Have faith in you and the things you do
You won't go wrong, oh no
This is our family jewel
We are family (hey, sing it to me)
I got all my sisters with me
We are family (oh, I can hear you now)
Get up everybody and sing
We are family
I got all my sisters with me
We are family (get up, get up y'all)
Get up everybody and sing
We are family (I got all my sisters with me)
I got all my sisters with me
We are family
Get up everybody and sing (Get up and sing it to me)
We are family
I got all my sisters with me (we're having fun)
We are family
Get up everybody and sing
Get up, get up, get up and sing it to me
Oh, I can't hear you y'all
Oh, have faith in you and the things you do
Hey hey, oh hey hey hey
Get up, get up y'all
Oh, hey hey hey
I got my sisters with me
Everybody, hey hey hey
Get up, get up and sing it to me
We're having fun
Life, life has just begun for me
Me, me and my family
Get up, get up and sing it
Sing it, sing it, sing it, sing it to me
Yeah, we're back together like birds of a feather
Get up, come on y'all
We are family (yeah, sing it to me)
I got all my sisters with me
We are family (yeah)
Get up everybody and sing (get up and sing it to me)
We are family (we're having lots of fun now)
I got all my sisters with me (get up and sing it sing it to me)
We are family (yeah)
Get up everybody and sing
We are family
I got all my sisters with me
We are family (we're family)
Get up everybody and sing
We are family
I got all my sisters with me
We are family (I got my sisters with me)
Get up everybody and sing
We are family
I got all my sisters with me
We are family (we're family)
Get up everybody and sing
We are family
I got all my sisters with me
We are family
Get up everybody and sing
We are family
I got all my sisters with me
We are family
Get up everybody and sing
We are family
I got all my sisters with me
We are family
Get up everybody and sing
We are family
I got all my sisters with me
We are family
Get up everybody and sing
We are family
I got all my sisters with me
We are family
I got all my sisters and sing",0.6999999881,2.299999952
Sweet Home Alabama,Lynyrd Skynyrd,1970,"Turn it up
Big wheels keep on turning
Carry me home to see my kin
Singing songs about the south-land
I miss 'ole' 'bamy once again
And I think it's a sin, yes
Well I heard Mister Young sing about her
Well I heard old Neil put her down
Well, I hope Neil Young will remember
A southern man don't need him around anyhow
Sweet home Alabama
Where the skies are so blue
Sweet home Alabama
Lord, I'm coming home to you
In Birmingham they love the Gov'nor, boo hoo ooo
Now we all did what we could do
Now Watergate does not bother me
Does your conscience bother you?
Tell the truth
Sweet home Alabama
Where the skies are so blue
Sweet home Alabama
Lord, I'm coming home to you, here I come Alabama
Now Muscle Shoals has got the Swampers
And they've been known to pick a song or two
Lord they get me off so much
They pick me up when I'm feeling blue
Now how bout you?
Sweet home Alabama
Where the skies are so blue
Sweet home Alabama
Lord, I'm coming home to you
Sweet home Alabama, oh sweet home
Where the skies are so blue and the Governor's true
Sweet home Alabama
Lord, I'm coming home to you, yeah yeh",0.200000003,1.600000024
Old Time Rock & Roll,Bob Seger & The Silver Bullet Band,1970,"Just take those old records off the shelf
I'll sit and listen to 'em by myself
Today's music ain't got the same soul
I like that old time rock n' roll
Don't try to take me to a disco
You'll never even get me out on the floor
In ten minutes I'll be late for the door
I like that old time rock n' roll
Still like that old time rock n' roll
That kind of music just soothes the soul
I reminisce about the days of old
With that old time rock n' roll
Won't go to hear them play a tango
I'd rather hear some blues or funky old soul
There's only one sure way to get me to go
Start playing old time rock n' roll
Call me a relic, call me what you will
Say I'm old-fashioned, say I'm over the hill
Today's music ain't got the same soul
I like that old time rock n' roll
Still like old time rock n' roll
That kind of music just soothes the soul
I reminisce about the days of old
With that old time rock n' roll",0.8000000119,0.8000000119
Dancing Queen,ABBA,1970,"Ooh
You can dance
You can jive
Having the time of your life
Ooh, see that girl
Watch that scene
Digging the dancing queen
Friday night and the lights are low
Looking out for a place to go
Where they play the right music
Getting in the swing
You come to look for a king
Anybody could be that guy
Night is young and the music's high
With a bit of rock music
Everything is fine
You're in the mood for a dance
And when you get the chance
You are the dancing queen
Young and sweet
Only seventeen
Dancing queen
Feel the beat from the tambourine, oh yeah
You can dance
You can jive
Having the time of your life
Ooh, see that girl
Watch that scene
Digging the dancing queen
You're a teaser, you turn 'em on
Leave 'em burning and then you're gone
Looking out for another
Anyone will do
You're in the mood for a dance
And when you get the chance
You are the dancing queen
Young and sweet
Only seventeen
Dancing queen
Feel the beat from the tambourine, oh yeah
You can dance
You can jive
Having the time of your life
Ooh, see that girl
Watch that scene
Digging the dancing queen
Digging the dancing queen",0.200000003,0.200000003
Play That Funky Music,Wild Cherry,1970,"Hey do it now yeah hey
Yeah, there was a funky singer
Playin' in a rock and roll band
And never had no problems yeah
Burnin' down one night stands
And everything around me, yeah
Got to stop to feelin' so low
And I decided quickly, yes I did
To disco down and check out the show
Yeah they was
Dancin' and singin' and movin' to the groovin'
And just when it hit me somebody turned around and shouted
Play that funky music white boy
Play that funky music right
Play that funky music white boy
Lay down that boogie and play that funky music till you die
Till you die, oh till you die
I tried to understand this
I thought that they were out of their minds
How could I be so foolish (How could I)
To not see I was the one behind
So still I kept on fighting
Well, loosing every step of the way
I said, I must go back there (I got to go back)
And check to see if things still the same
Yeah they was dancin' and singin' and movin' to the groovin'
And just when it hit me somebody turned around and shouted
Play that funky music white boy
Play that funky music right
Play that funky music white boy
Lay down the boogie and play that funky music till you die
Till you die, ya
Till you die
Now first it wasn't easy
Changin' Rock and Roll and minds and things were getting shaky
I thought I'd have to leave it behind
But now its so much better (it's so much better)
I'm funking out in every way
But I'll never lose that feelin' (no I won't)
Of how I learned my lesson that day
When they were dancin' and singin' and movin' to the groovin'
And just when it hit me somebody turned around and shouted
Play that funky music white boy
Play that funky music right
Play that funky music white boy
Lay down the boogie and play that funky music till you die
Till you die
Oh' till you die
They shouted play that funky music
(Play that funky music)
Play that funky music
(You Gotta keep on playin' funky music)
Play that funky music
(Play that funky music)
Play that funky music
(Come and take you higher, ya)
Play that funky music white boy
Play that funky music right, ya
Play that funky music white boy
Play that funky music right
Play that funky music white boy
Play that funky music right",0,0.6999999881
